id,client_code,name,business_registration_number,owner_name,address,remarks,status,created_at,updated_at
28,"",갈매우리내과의원,753-96-00505,최지영,"경기도 구리시 갈매순환로 7, 에이스프라자 3층 1호 (갈매동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
29,"",강내과의원,479-72-00014,강남용,"경기도 남양주시 와부읍 덕소로 214, (와부읍)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
30,"",고척으뜸내과의원,174-98-01670,김영우,"서울특별시 구로구 경인로43길 49, B동 201호 (고척동, 고척아이파크)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
31,"",더편한내과의원,521-20-01969,박준형,"서울특별시 중랑구 상봉로 131, 2층 201-1호 (상봉동, 상봉 듀오트리스)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
32,"",부천조은내과의원,373-22-01160,이승호,"경기도 부천시 소사구 경인로 511, 4층 일부호 (괴안동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
33,"",삼성맑은내과의원,221-93-32829,이재은,"서울특별시 중구 퇴계로 385, 준타워 7층 (흥인동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
34,"",삼성바른내과의원(구로),685-92-01713,정환석,"서울특별시 구로구 가마산로 246, 대신빌딩 3층 (구로동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
35,"",삼성바른내과의원(창신),667-99-00199,정은행,"서울특별시 종로구 지봉로 37-1, 2층 (창신동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
36,"",삼성박내과의원,137-98-41329,박성범,"경기도 용인시 수지구 성복2로 51, 데이파크 A동 302호 (성복동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
37,"",삼성베스트내과의원(동대문),848-93-01591,이태영,"서울특별시 동대문구 답십리로 9, 5층 (전농동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
38,"",삼성보스톤내과의원,647-40-00595,이경미,"서울특별시 종로구 종로 261, 3,4,5층 (종로6가)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
39,"",삼성탑내과의원(부천),377-91-00645,신동석,"경기도 부천시 원미구 길주로 183, 영라이프빌딩 701,501,502,505호 (중동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
40,"",삼성훈내과의원,132-92-73315,이방훈,"경기도 구리시 체육관로80번길 9, 302호 (수택동, 씨앤씨빌딩)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
41,"",수유탑내과의원,326-93-01747,김홍제,"서울특별시 강북구 도봉로 333, 정우빌딩 4층 (수유동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
42,"",연세도곡내과의원,641-96-01496,이제훈,"경기도 남양주시 와부읍 덕소로 226, 골드타워 4층","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
43,"",튼튼내과의원,369-93-00202,안태홍,"서울특별시 종로구 종로 293, 5층 (창신동, 하나저축은행)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
44,"",건강그린내과의원,110-92-22927,김청호,"서울특별시 은평구 연서로 216, (대조동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
45,"",다나아정형외과의원,444-96-01065,전보근,"경기도 용인시 수지구 성복2로 92, 3층 301~2호 (성복동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
46,"",서울당신의내과의원,144-93-01577,안지현,"서울특별시 성동구 아차산로7길 15-1, 제이제이빌딩 1~2층 (성수동2가)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
47,"",덕은탑이비인후과의원,657-96-01512,박진우,"경기도 고양시 덕양구 으뜸로 130, 위프라임트윈타워 305호~308호 (덕은동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
48,"",부천삼성정형외과의원,680-99-00891,박종현,"경기도 부천시 원미구 부천로 108, (원미동, 참솔빌딩)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
49,"",서울바른세상병원,632-94-00164,김형식,"서울특별시 금천구 시흥대로 421, (독산동, 건국빌딩)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
50,"",늘품위내과의원,632-90-00754,조현석,"서울특별시 동대문구 답십리로 273, 한양빌딩 5층 (장안동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
51,"",서울아산류마최내과의원,287-92-01770,최원호,"경기도 부천시 원미구 길주로 199, 굿모닝프라자 204,205,206호 (중동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
52,"",속속린내과의원,582-37-01230,이재혁,"경기도 성남시 분당구 동판교로 61, 자유퍼스트프라자2 601, 602, 603호 (백현동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
53,"",연세우리내과의원,117-97-01312,문병섭,"경기도 시흥시 배곧3로 86, 센터프라자2 3층 301호~302호 (배곧동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
54,"",의료법인서준의료재단예천권병원,228-82-02276,권규호,"경상북도 예천군 예천읍 시장로 136, (예천읍)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
55,"",힘내라내과의원,204-93-46371,이혁,"서울특별시 성동구 아차산로 113, 삼진빌딩 3층 301,302호 (성수동2가)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
56,"",88신경외과의원,687-96-01191,장준원,"서울특별시 영등포구 도림로 144, 88월드타워 4층 (대림동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
57,"",굿모닝내과의원,210-90-99815,박해규,"서울특별시 강북구 한천로105길 7, 2층 (번동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
58,"",현대병원(남양주),132-22-76546,김부섭,"경기도 남양주시 진접읍 봉현로 21, (진접읍)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
59,"",늘푸른정형외과의원,610-95-11576,김종구,"경기도 군포시 금산로22번길 6, 태을빌딩 4층 401,402호 (금정동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
60,"",의료법인성화의료재단대한병원,210-82-06271,홍원,"서울특별시 강북구 도봉로 301, (수유동, 대한병원)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
61,"",드림메디임승길내과의원,354-90-00999,임승길,"경기도 수원시 장안구 정조로 925, 2층 (영화동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
62,"",라파가정의학과의원,709-32-00748,신니엘,"경기도 의정부시 비우로 110, 2층 (녹양동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
63,"",명성의원,121-91-05241,박상욱,"경기도 수원시 장안구 장안로125번길 3, (정자동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
64,"",삼성플러스내과의원,398-91-01879,권태진,"경기도 안양시 동안구 흥안대로 524, 삼우프라자 3층 (관양동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
65,"",서울류내과의원,370-52-00887,류현욱,"서울특별시 강북구 한천로 1120, 영우빌딩 2층 (수유동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
66,"",서울원내과의원,899-91-01182,김기원,"경기도 안양시 동안구 흥안대로 527, 스타타워빌딩 5층 (관양동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
67,"",신윤수내과의원,639-92-00986,신윤수,"경기도 용인시 처인구 금령로 30, 2층일부 3층 (김량장동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
68,"",신일병원,210-96-07113,유인협,"서울특별시 강북구 덕릉로 73, (수유동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
69,"",역북참내과의원,176-99-00714,박상훈,"경기도 용인시 처인구 명지로40번길 15-15, 3층 301~303호,4층 404호 (역북동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
70,"",좋은숨김휘정내과의원,559-93-00334,김휘정,"경기도 군포시 산본로323번길 16-7, 8층 803호 (산본동, 롯데프라자)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
71,"",이정헌이비인후과의원,162-91-02186,이정헌,"경기도 군포시 산본로323번길 16-36, 삼정빌딩 301호 (산본동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
72,"",가양성모내과의원,122-95-16337,김보규,"서울특별시 강서구 화곡로68길 3, 401호, 404~407호 (등촌동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
73,"",가장편한내과의원,319-94-01649,김민정,"서울특별시 동작구 상도로 247, 3층 (상도동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
74,"",강남바른내과의원,667-99-01413,박주한,"서울특별시 강남구 선릉로 324, SH타워 4층 (대치동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
75,"",강남탑내과의원,422-94-01533,박주한,"서울특별시 서초구 효령로 431, 서초동 청화오피스텔 2층 (서초동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
76,"",강동성모내과의원,601-98-77366,김경희,"서울특별시 강동구 올림픽로 806, 2층 (암사동, 까사팔공육)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
77,"",강동세브란스내과의원,645-95-01792,강민석,"서울특별시 강동구 성내로 19, (주)서경산업개발 2층 201,202호 (성내동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
78,"",고덕바른속내과의원,107-92-01659,이소정,"서울특별시 강동구 고덕로 262, 고덕역 효성해링턴 타워 더퍼스트 203~208호 (명일동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
79,"",고덕성심소아청소년과의원,420-90-01349,고근혁,"서울특별시 강동구 고덕로 380, 고덕아르테온아파트(상가2동) 2층 202호 (상일동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
80,"",마곡중앙내과의원,178-94-00942,이상혁,"서울특별시 강서구 공항대로 168, 5층 511,512,513호 (마곡동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
81,"",문앤장내과의원,308-99-00927,문형일,"서울특별시 강동구 고덕로 390, 고덕아르테온아파트(상가1동) 2층 209,211,212호 (상일제1동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
82,"",미래탑내과의원,818-91-01349,장주현,"서울특별시 동작구 상도로 246, 더라함 2층 (상도동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
83,"",바른메디내과의원,185-97-01353,신인섭,"서울특별시 강서구 공항대로 236, 5층 (마곡동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
84,"",부평탑내과의원,291-92-01901,이유창,"인천광역시 부평구 시장로 48, 2층 204,205호 (부평동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
85,"",삼성더건강내과의원,529-90-01796,김학수,"서울특별시 강남구 선릉로 34, 4층 (개포동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
86,"",삼성드림내과의원,108-92-13968,박승식,"서울특별시 동작구 만양로 5-1, 1층 101호 (상도동, 나동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
87,"",삼성바른내과의원(강서),743-91-00556,송창석,"서울특별시 강서구 강서로 231, 2층 209호 (화곡동, 우장산역 해링턴 타워)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
88,"",삼성바른내과의원(별내),166-96-01559,윤민용,"경기도 남양주시 별내중앙로 24, 이레타워 1동 403호 (별내동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
89,"",삼성본정형외과의원,739-98-01142,이승희,"서울특별시 강동구 올림픽로 651, 예경빌딩 7층 (천호동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
90,"",서울삼성내과의원(영등포),321-95-01178,민신영,"서울특별시 영등포구 도림로 135, 7층 701호 (대림동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
91,"",삼성탑내과의원(안양),693-99-01367,김종호,"경기도 안양시 동안구 시민대로 175, 동안프라자빌딩 701,702,703,704,708,709호 (비산동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
92,"",삼성편한내과의원(강서),840-99-01226,채현범,"서울특별시 강서구 강서로 173, 터보빌딩 3층 (화곡동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
93,"",서울삼성내과의원(여주),238-92-00221,이대성,"경기도 여주시 세종로 18-1, 3층 (홍문동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
94,"",서울연합내과의원,132-92-48932,김기찬,"경기도 남양주시 별내5로5번길 11, 302,303호 (별내동, 성산메디칼타워)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
95,"",성모척편한신경외과의원,841-94-00486,김형석,"서울특별시 중랑구 면목로 305, 2층 (면목동, 성일빌딩)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
96,"",연세든든내과의원,483-94-00897,김재현,"서울특별시 강서구 화곡로 152, CUBE152 2,4층 (화곡동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
97,"",연세위드내과의원,471-92-01604,이욱진,"서울특별시 강서구 강서로 59, 4,5층 (화곡동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
98,"",위례탑내과의원,269-99-01257,남재형,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 501,502호 (창곡동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
99,"",은평진내과의원,540-93-01270,엄유진,"서울특별시 은평구 통일로 714, 2층 (불광동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
100,"",은평탑내과의원,152-99-01207,엄문용,"서울특별시 은평구 은평로 116, 위산 일리온시티 2층 201호 (응암동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
101,"",은평플러스내과의원,560-98-01056,신재령,"서울특별시 은평구 연서로 74, 보광빌딩 2층 (역촌동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
102,"",이수리더스내과의원,774-97-01279,안계련,"서울특별시 서초구 동작대로 114, (재)원불교 유문빌딩 3층 (방배동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
103,"",현대정형외과의원,132-91-12946,이휘재,"경기도 남양주시 와부읍 덕소로97번길 9, 일신프라자 4층","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
104,"",화도연합내과의원,201-98-68084,홍성훈,"경기도 남양주시 화도읍 마석중앙로 51, 3층","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
105,"",미소준내과의원,309-90-04976,이강원,"경기도 하남시 미사강변중앙로 220, 우성미사타워 301호 (망월동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
106,"",프라임내과의원,781-91-02196,이윤수,"경기도 군포시 군포로 522, 군포새마을금고 3층 (당동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
107,"",삼성편한내과의원(동대문),446-93-01809,김선화,"서울특별시 동대문구 휘경로 15, 5층 (이문동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
108,"",우성용1내과의원,147-91-01266,우성용,"서울특별시 동작구 보라매로 110, 영등포농협 3층 (대방동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
109,"",김경년내과의원,403-90-32323,김경년,"전북특별자치도 익산시 부송1로 81, 205호 (부송동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
110,"",구기선내과의원,403-90-53560,구기선,"전북특별자치도 익산시 평동로 748, 2층 (동산동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
111,"",건강플러스내과의원,403-90-60998,김종률,"전북특별자치도 익산시 부송1로 47, (부송동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
112,"",이성호정형외과의원,403-90-22688,이성호,"전북특별자치도 익산시 서동로 91, (마동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
113,"",예일소아청소년과의원,403-90-24838,박경배,"전북특별자치도 익산시 무왕로 1089, 2층 (영등동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
114,"",형근영내과의원,401-90-37206,형근영,"전북특별자치도 군산시 의료원로 159, 208호 (나운동, 신일에이상가)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
115,"",제일탑내과의원,123-94-11658,김희식,"전북특별자치도 익산시 하나로 434, 3층 (어양동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
116,"",미소가정의학과의원,401-11-85402,서건민,"전북특별자치도 군산시 칠성로 120, 2,4층 (산북동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
117,"",평화로운내과의원,402-91-26562,백현선,"전북특별자치도 전주시 완산구 소대배기로 5, 2층 (평화동2가, 성가신협)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
118,"",복음연합내과의원,402-90-45956,김은화,"전북특별자치도 전주시 완산구 당산로 96, (서신동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
119,"",삼성베스트내과의원,131-92-41256,박현식,"인천광역시 부평구 길주로 643, 명윤빌딩 4층 (삼산동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
120,"",서울드림내과의원,104-95-04338,이석영,"인천광역시 부평구 부흥로 264, (부평동, 동아웰빙타운)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
121,"",서울조은내과의원,705-93-01810,주문진,"경기도 부천시 원미구 길주로 111, 센타프라자 201,202,203,204호 (상동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
122,"",영종속시원내과의원,370-93-02078,박진웅,"인천광역시 중구 하늘중앙로 197, 5층 501호 (중산동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
123,"",우리가족의원,131-91-08584,조관호,"인천광역시 남동구 논고개로 337, (도림동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
124,"",자애내과의원,122-91-27568,김기영,"인천광역시 부평구 부평대로 90, 여산빌딩 A동 602호 (부평동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
125,"",장피부과의원,131-36-05292,장경훈,"인천광역시 남동구 남동대로 892, 2층 3층일부호 (간석동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
126,"",전형식내과의원,122-96-11718,전형식,"인천광역시 부평구 부평문화로 38, 202호 (부평동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
127,"",퍼스트내과의원,316-93-00775,최병호,"경기도 김포시 김포한강4로 525, 4층 (구래동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
128,"",간석굿모닝의원,131-91-48325,지세현,"인천광역시 남동구 석산로169번길 17, (간석동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
129,"",김가정의원,121-91-55737,계원숙,"인천광역시 미추홀구 독배로 431, (용현동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
130,"",김명주산부인과의원,122-91-24498,김명주,"인천광역시 부평구 부평대로 9, (부평동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
131,"",노내과의원,122-96-03071,노수환,"인천광역시 부평구 부평문화로 100-1, (부평동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
132,"",배이비인후과의원,122-96-06345,배규정,"인천광역시 계양구 효서로 233-1, (작전동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
133,"",보람정형외과의원,122-90-74410,이상준,"인천광역시 계양구 오조산로 3, 3,4층 (작전동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
134,"",서울메디의원,469-93-00900,김영주,"인천광역시 계양구 계양대로 82, 2층 일부호 (작전동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
135,"",연세정내과의원,113-90-43553,정경섭,"경기도 하남시 미사강변대로 228, 501호 (망월동, 미사메디프라자)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
136,"",인천계양속편한내과의원,122-90-16351,윤형선,"인천광역시 계양구 용종로 2, 202호,304호,305호 (계산동, 계산프라자)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
137,"",인천한방병원,460-99-00749,"","인천광역시 서구 염곡로464번길 7, 성도메디피아 6~8층 (가정동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
138,"",최기은정신건강의학과의원,137-96-02787,최기은,"인천광역시 부평구 열우물로 21, (십정동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
139,"",한양정형외과내과의원,113-90-16454,한희석,"서울특별시 구로구 경인로 164, 대일빌딩 (오류동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
140,"",이경상내과의원,114-96-07590,이경상,"서울특별시 서초구 방배로 125, 2층 (방배동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
141,"",삼성성인내과의원,132-90-39050,박창영,"경기도 남양주시 와부읍 덕소로 93, 8층 (희빌딩)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
142,"",정기수내과의원,109-96-08729,정기수,"서울특별시 강서구 화곡로 173, (화곡동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
143,"",삼성우리내과의원,120-90-60211,유광현,"서울특별시 강남구 일원로 37, 하나은행 일원중앙 5층 1호 (일원동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
144,"",최호열내과의원,105-90-06241,최호렬,"서울특별시 마포구 백범로 127, 2층 (염리동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
145,"",위앤장(We&Jang)공내과의원,117-96-03365,공현호,"서울특별시 양천구 등촌로 214, (목동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
146,"",서울조인트내과의원,119-90-91091,이정찬,"서울특별시 관악구 양녕로 46, 503호 (봉천동, 메카플러스)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
147,"",윤앤석내과의원,484-95-01315,석선아,"서울특별시 도봉구 도당로13길 16, 301호, 402호 (방학동)","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
148,"",임내과의원,132-90-81863,임병훈,"경기도 가평군 가평읍 연인1길 1, 2층","",active,2025-07-21 06:03:56.284904+00,2025-07-21 06:03:56.284904+00
