id,pharmacy_code,name,business_registration_number,address,remarks,status,created_at,updated_at
97,"",다모아약국,217-16-21225,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
98,"",노원하나약국,342-33-01293,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
99,"",아름다운온누리약국,867-36-01454,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
100,"",행복한정약국,118-33-01496,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
101,"",혜중약국,880-14-02338,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
102,"",기린약국,854-55-00504,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
103,"",송우늘푸른약국,127-42-33000,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
104,"",미건메디컬약국,216-40-21436,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
105,"",길약국,127-25-23524,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
106,"",나무약국,812-17-02151,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
107,"",프라자약국,131-18-81355,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
108,"",행복한약국,504-42-00477,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
109,"",메디팜동아약국,218-22-08527,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
110,"",군자여기약국,444-01-03709,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
111,"",푸른온누리약국,206-15-38831,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
112,"",보원약국,132-10-27436,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
113,"",와부약국,132-05-62502,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
114,"",은혜온누리약국,117-09-81435,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
115,"",온누리좋은약국,113-19-46395,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
116,"",바다보다 넓은약국,129-40-01572,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
117,"",정수메디컬약국,860-77-00156,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
118,"",미사약국,670-44-00953,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
119,"",365약국,537-66-00231,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
120,"",시티약국,186-25-01005,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
121,"",씨엘약국,230-20-01796,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
122,"",상봉도담약국,858-07-02880,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
123,"",하늘약국,201-10-44954,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
124,"",대해약국,105-14-72937,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
125,"",맑은샘약국,401-15-43486,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
126,"",수인약국,713-21-01769,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
127,"",다나을약국,399-22-01143,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
128,"",7번약국,427-15-01004,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
129,"",다나약국,132-19-48583,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
130,"",카이로약국,123-12-96893,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
131,"",메디칼3층약국,132-01-91111,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
132,"",평내약국,850-26-01495,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
133,"",참빛약국,204-03-67884,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
134,"",또봄약국,650-20-01762,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
135,"",종로온누리약국,311-34-32542,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
136,"",건강약국,108-20-96768,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
137,"",오리약국,789-05-02673,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
138,"",사랑약국,132-11-24076,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
139,"",덕소메디칼약국,436-78-00168,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
140,"",보성약국,726-02-02860,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
141,"",혜인온누리약국,322-18-01393,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
142,"",봄날약국,510-21-66635,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
143,"",민중약국,208-32-21686,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
144,"",하얀약국,637-18-02085,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
145,"",맘온누리약국(전문),276-63-00432,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
146,"",마곡스타약국(전문),216-07-69812,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
147,"",세란온누리약국,624-52-00504,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
148,"",여주사랑약국,360-68-00237,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
149,"",이안온누리약국,204-26-34209,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
150,"",참약사플러스약국,466-11-02465,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
151,"",홍약국,208-61-00041,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
152,"",365밝은약국,503-09-38968,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
153,"",건강밝은약국,110-18-70884,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
154,"",수민약국,109-51-37636,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
155,"",가양하늘약국,177-03-02371,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
156,"",성모약국,108-18-46794,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
157,"",강남백년가약국,404-28-01296,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
158,"",강동천사약국,694-47-00794,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
159,"",새힘약국,460-04-02682,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
160,"",두루미약국(전문),163-21-01265,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
161,"",새빛약국,222-10-23581,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
162,"",고덕하나약국,212-24-97098,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
163,"",고덕경희온누리약국,804-04-02432,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
164,"",코끼리약국,279-44-00857,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
165,"",봄날약국,201-22-93079,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
166,"",상일약국,808-08-02937,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
167,"",모주현약국,653-15-01151,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
168,"",메디슨약국,684-46-01144,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
169,"",스마일약국,212-21-55817,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
170,"",송약국(전문),148-19-01337,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
171,"",민들레약국(마곡),288-38-00883,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
172,"",가장큰이대약국,690-76-00190,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
173,"",코리아약국,672-16-02065,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
174,"",개포플러스약국,209-07-42095,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
175,"",이룸약국,720-77-00498,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
176,"",별빛약국,354-27-01015,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
177,"",비타민약국,556-32-01371,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
178,"",정감약국,396-07-02311,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
179,"",소원약국,226-20-51701,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
180,"",연세약국,134-22-00154,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
181,"",대생약국,109-37-02316,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
182,"",시민약국,132-26-82992,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
183,"",소망약국,509-17-02575,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
184,"",엔젤약국,678-02-01510,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
185,"",다정한약국,731-12-02027,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
186,"",위례중앙약국,260-59-00541,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
187,"",위례다나약국,293-19-00278,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
188,"",365열린큰약국,331-25-01094,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
189,"",다모아약국,798-37-01062,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
190,"",불광우리들약국,124-41-28364,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
191,"",은평스타약국(일반),827-52-00516,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
192,"",원약국,110-20-74850,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
193,"",은평마리약국,709-65-00367,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
194,"",곰약국,660-64-00217,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
195,"",참진약국,824-07-01480,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
196,"",방배세명약국,526-06-01463,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
197,"",방배대한약국,113-10-84057,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
198,"",행복한온누리약국,869-24-00875,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
199,"",바로약국,809-07-03096,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
200,"",맑은온누리약국,227-53-00479,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
201,"",문정수약국,256-32-01035,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
202,"",중의당약국,437-27-01775,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
203,"",엄마약국,204-01-35296,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
204,"",선유도온누리약국,592-02-02291,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
205,"",행복약국,371-03-00053,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
206,"",행운약국,685-41-00901,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
207,"",웰빙약국,210-01-59255,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
208,"",강북김약국,289-28-00738,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
209,"",다나온누리약국,112-07-45347,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
210,"",동보당약국,331-05-02722,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
211,"",제중당건강약국,108-18-46509,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
212,"",골드약국,108-15-23145,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
213,"",우리마음약국,337-19-02557,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
214,"",코리아약국,423-43-01266,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
215,"",태양약국,256-42-01261,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
216,"",구리탄탄약국,399-07-02800,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
217,"",아미랑의원,696-14-01942,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
218,"",좋은약국,403-15-12674,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
219,"",건강이열리는약국,403-04-40698,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
220,"",슈바이쳐약국,687-52-00878,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
221,"",밝은약국,403-11-31673,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
222,"",보람약국,403-08-25996,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
223,"",광종합약국,403-08-48719,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
224,"",범생종합약국,403-01-90746,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
225,"",광제약국,403-06-41556,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
226,"",내가본약국,409-01-73196,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
227,"",백화점약국,305-19-69319,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
228,"",은파약국,491-38-01116,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
229,"",다정한약국,291-21-00601,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
230,"",제일종합약국,148-10-01616,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
231,"",익산고려종합약국,403-05-36283,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
232,"",하나로약국,403-07-58262,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
233,"",군산진약국,325-34-00506,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
234,"",건강한약국,402-15-46832,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
235,"",온심약국,418-07-90115,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
236,"",소망약국,418-12-03614,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
237,"",평화프라자약국,527-05-02245,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
238,"",완산종로약국,575-08-01853,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
239,"",서신종로약국,402-20-30412,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
240,"",종로프라자약국,117-13-69307,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
241,"",서신태평양약국,402-22-84270,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
242,"",서신이마트약국,577-02-00542,"","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
